name,category,lat,lon
NTUC Fairprice,supermarket,1.3856119,103.9025772
Giant,supermarket,1.3794345,103.88795
NTUC FairPrice,supermarket,1.3725281,103.8939238
NTUC Fairprice,supermarket,1.3824983,103.893624
NTUC FairPrice,supermarket,1.3923199,103.904213
NTUC FairPrice,supermarket,1.3943753,103.912923
NTUC FairPrice,supermarket,1.3575602,103.8841371
Giant,supermarket,1.3815806,103.8970373
Giant Hypermarket,supermarket,1.3312172,103.9483149
NTUC FairPrice Finest,supermarket,1.3014954,103.839658
NTUC FairPrice,supermarket,1.3123256,103.9253617
NTUC FairPrice,supermarket,1.3373298,103.9218002
NTUC FairPrice Finest,supermarket,1.301342,103.9071774
Cold Storage Fresh,supermarket,1.3001235,103.8560555
NTUC FairPrice,supermarket,1.2925348,103.8113068
NTUC FairPrice,supermarket,1.3128156,103.7658379
NTUC FairPrice,supermarket,1.2812832,103.8100855
Giant,supermarket,1.441726,103.8250677
NTUC FairPrice,supermarket,1.4495608,103.8186291
NTUC FairPrice,supermarket,1.4479385,103.8195511
Shop N Save,supermarket,1.4309761,103.7942332
Cold Storage,supermarket,1.3176941,103.7859561
Prime,supermarket,1.3588218,103.7504894
Giant,supermarket,1.3416023,103.6969558
Sheng Siong,supermarket,1.3255871,103.7251859
Prime Supermarket,supermarket,1.3417008,103.6912824
Sheng Siong,supermarket,1.3221125,103.738207
NTUC FairPrice,supermarket,1.3205044,103.7426546
Cold Storage,supermarket,1.3215309,103.9555771
Giant,supermarket,1.3586036,103.7492177
NTUC FairPrice,supermarket,1.3257807,103.9316518
Sheng Siong,supermarket,1.3244941,103.9310939
NTUC FairPrice,supermarket,1.2932215,103.8268848
NTUC FairPrice,supermarket,1.3153813,103.7643947
NTUC FairPrice,supermarket,1.350271,103.8485161
NTUC Fairprice,supermarket,1.3238372,103.8557907
Cold Storage Fresh,supermarket,1.3101598,103.7953924
NTUC FairPrice,supermarket,1.2909214,103.8026888
NTUC FairPrice,supermarket,1.2864697,103.8265783
Cold Storage,supermarket,1.3874746,103.8693009
Cold Storage,supermarket,1.3916794,103.8948873
NTUC Fairprice,supermarket,1.375571,103.8795488
Sheng Siong,supermarket,1.3677466,103.8364503
Sheng Shiong,supermarket,1.3702891,103.8434139
NTUC FairPrice Xtra,supermarket,1.3693018,103.8488529
NTUC FairPrice,supermarket,1.3543366,103.8302338
ACE Marketplace,supermarket,1.2777764,103.8310198
NTUC FairPrice,supermarket,1.2973182,103.8383052
Cold Storage,supermarket,1.3307365,103.7955242
Cold Storage,supermarket,1.3010098,103.8450553
NTUC FairPrice,supermarket,1.4363491,103.7857696
NTUC FairPrice,supermarket,1.4353183,103.7865131
NTUC FairPrice Finest,supermarket,1.3004599,103.8371761
NTUC FairPrice Xtra,supermarket,1.3396665,103.7055473
NTUC FairPrice Xtra,supermarket,1.3510423,103.8722775
Giant,supermarket,1.3340708,103.7472706
Giant,supermarket,1.3779605,103.73864
Sheng Siong,supermarket,1.3805261,103.7600191
Cold Storage,supermarket,1.3020336,103.8763916
NTUC FairPrice,supermarket,1.2744573,103.8436539
NTUC FairPrice,supermarket,1.2760543,103.843136
NTUC FairPrice,supermarket,1.3382406,103.7783181
NTUC FairPrice,supermarket,1.3464969,103.7121589
FairPrice Finest @ Scotts,supermarket,1.3059351,103.8328831
NTUC FairPrice Finest,supermarket,1.3345959,103.9627854
NTUC FairPrice,supermarket,1.2829291,103.8175344
NTUC FairPrice,supermarket,1.3239226,103.8098403
NTUC Fairprice Finest,supermarket,1.380491,103.7641782
NTUC FairPrice,supermarket,1.3430246,103.9528291
NTUC FairPrice,supermarket,1.3521442,103.9444897
NTUC Fairprice,supermarket,1.3724307,103.9496345
NTUC Fairprice,supermarket,1.3760422,103.9553166
NTUC FairPrice,supermarket,1.3186022,103.8944483
NTUC Fairprice,supermarket,1.320599,103.8442909
NTUC Fairprice,supermarket,1.3849878,103.7450943
NTUC Fairprice,supermarket,1.3971564,103.7466885
Cold Storage,supermarket,1.2643809,103.820063
CS Fresh,supermarket,1.2938703,103.8319081
Cold Storage,supermarket,1.2994693,103.787506
Cold Storage,supermarket,1.3021406,103.8353196
Cold Storage,supermarket,1.3037215,103.7657354
Cold Storage Fresh,supermarket,1.3070599,103.7879849
Cold Storage,supermarket,1.3168348,103.8434897
Grindelwald,supermarket,1.3220913,103.7702616
Cold Storage,supermarket,1.3501335,103.8732256
Cold Storage,supermarket,1.3539198,103.9452276
Cold Storage,supermarket,1.3558211,103.9898809
Cold Storage,supermarket,1.3593977,103.8849418
Cold Storage Fresh,supermarket,1.2934639,103.8531044
CS Fresh Gold,supermarket,1.3035875,103.8359057
Cold Storage Fresh Gold,supermarket,1.3048473,103.8242276
CS Fresh,supermarket,1.3049612,103.9052732
ThreeSixty,supermarket,1.3041529,103.8316657
Cold Storage,supermarket,1.3235953,103.7675432
Sheng Siong,supermarket,1.3381024,103.9234133
NTUC Fairprice,supermarket,1.3151914,103.8495849
Sheng Siong,supermarket,1.3150492,103.7711263
NTUC FairPrice,supermarket,1.3144431,103.7711879
Giant,supermarket,1.3201477,103.8873042
NTUC FairPrice,supermarket,1.3796884,103.9362379
Giant,supermarket,1.4403979,103.8005616
Econ Minimart,supermarket,1.3237921,103.9107829
NTUC FairPrice,supermarket,1.3236799,103.9108467
NTUC FairPrice,supermarket,1.2855811,103.8451805
Daiso,supermarket,1.3114628,103.8568212
NTUC FairPrice,supermarket,1.3115258,103.8563897
Cold Storage,supermarket,1.320133,103.843935
Giant,supermarket,1.4456477,103.7979298
