Rank (2024),School,Vacancies (2024),Applicants (2024),Ratio (2024),Ballot (2024),Rank (2022),Rank (2023),,school_name,latitude,longitude
46,Red Swastika,43,63,1.47,SC<1,25,17,,EVERGREEN PRIMARY SCHOOL,1.444148355,103.7945453
47,Radin Mas,52,76,1.46,SC1-2,21,42,,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.301004419,103.7854556
48,Tanjong Katong,73,104,1.42,SC1-2,63,60,,FARRER PARK PRIMARY SCHOOL,1.31243078,103.8507709
49,Alexandra,58,82,1.41,SC<1,67,75,,FENGSHAN PRIMARY SCHOOL,1.329805988,103.9317103
50,St. Andrew’s Junior,92,130,1.41,SC<1,49,77,,FERN GREEN PRIMARY SCHOOL,1.397269661,103.8803303
51,Yangzheng,51,72,1.41,SC1-2,35,35,,FERNVALE PRIMARY SCHOOL,1.39030228,103.8744455
52,Compassvale,112,156,1.39,SC<1,75,50,,FIRST TOA PAYOH PRIMARY SCHOOL,1.340322995,103.8555299
53,Riverside,56,77,1.38,SC<1,55,41,,FRONTIER PRIMARY SCHOOL,1.336412987,103.6997017
54,Rivervale,84,115,1.37,SC<1,47,21,,FUCHUN PRIMARY SCHOOL,1.430479908,103.7781929
55,Raffles Girls’,135,183,1.36,SC>2,57,69,,FUHUA PRIMARY SCHOOL,1.336597265,103.7360895
56,Valour,60,81,1.35,SC<1,72,63,,GAN ENG SENG PRIMARY SCHOOL,1.285595165,103.8155474
57,Paya Lebar Methodist Girls’,103,139,1.35,SC<1,60,67,,GEYLANG METHODIST SCHOOL (PRIMARY),1.318144168,103.8836285
58,Yu Neng,49,66,1.35,SC<1,44,45,,GONGSHANG PRIMARY SCHOOL,1.357116068,103.9491448
59,Sembawang,66,88,1.33,SC1-2,82,60,,GREENDALE PRIMARY SCHOOL,1.396481951,103.9123346
60,Chua Chu Kang,97,127,1.31,SC<1,33,25,,GREENRIDGE PRIMARY SCHOOL,1.385889219,103.7677945
61,Tao Nan,66,86,1.3,SC<1,20,14,,GREENWOOD PRIMARY SCHOOL,1.439899583,103.8047256
62,Northshore,128,166,1.3,SC<1,130,104,,HAIG GIRLS' SCHOOL,1.311943443,103.9029026
63,Methodist Girls’,50,64,1.28,SC>2,34,44,,HENRY PARK PRIMARY SCHOOL,1.316676462,103.7842962
64,Chongzheng,96,122,1.27,SC1-2,43,66,,HOLY INNOCENTS' PRIMARY SCHOOL,1.366938309,103.8941149
65,Maha Bodhi,76,96,1.26,SC1-2,54,52,,HONG WEN SCHOOL,1.32176,103.8576285
66,Anglo-Chinese (Primary),59,74,1.25,SC>2,71,55,,HORIZON PRIMARY SCHOOL,1.399550034,103.9134049
67,Junyuan,63,79,1.25,SC1-2,112,68,,HOUGANG PRIMARY SCHOOL,1.377382452,103.8808053
68,Fengshan,62,76,1.23,PR<1,66,95,,HUAMIN PRIMARY SCHOOL,1.426972845,103.8442402
69,West Spring,60,73,1.22,SC<1,36,78,,INNOVA PRIMARY SCHOOL,1.428967007,103.7906075
70,Punggol,91,110,1.21,SC<1,39,61,,JIEMIN PRIMARY SCHOOL,1.427688477,103.8304255
71,Anglo-Chinese (Junior),63,76,1.21,SC1-2,65,56,,JING SHAN PRIMARY SCHOOL,1.371964457,103.8517635
72,Jing Shan,60,71,1.18,SC1-2,95,84,,JUNYUAN PRIMARY SCHOOL,1.347870748,103.9392217
73,Pei Chun Public,57,67,1.18,SC<1,29,36,,JURONG PRIMARY SCHOOL,1.348438597,103.7331566
74,St. Joseph’s Institution Junior,86,101,1.17,SC>2,59,73,,JURONG WEST PRIMARY SCHOOL,1.339175198,103.6988037
75,Catholic High,46,54,1.17,SC<1,37,53,,MEE TOH SCHOOL,1.394853561,103.9085726
76,Mee Toh,130,152,1.17,SC<1,50,58,,KEMING PRIMARY SCHOOL,1.3455285,103.7564494
77,Canberra,112,130,1.16,SC1-2,64,79,,KHENG CHENG SCHOOL,1.337288184,103.8471411
,,,,,,,,,KONG HWA SCHOOL,1.31099674,103.888352
,,,,,,,,,KRANJI PRIMARY SCHOOL,1.393560505,103.7473627
,,,,,,,,,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.349398137,103.8550182
,,,,,,,,,LAKESIDE PRIMARY SCHOOL,1.338203977,103.7180895
,,,,,,,,,LIANHUA PRIMARY SCHOOL,1.354241911,103.7541658
,,,,,,,,,MAHA BODHI SCHOOL,1.328580239,103.9013069
,,,,,,,,,MARSILING PRIMARY SCHOOL,1.43383904,103.773643
,,,,,,,,,MARYMOUNT CONVENT SCHOOL,1.340438407,103.8398117
