geometry,latitude,longitude,OBJECTID,LANDXADDRESSPOINT,LANDYADDRESSPOINT,ADDRESSBUILDINGNAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,DESCRIPTION,NAME,PHOTOURL,ADDRESSBLOCKHOUSENUMBER,STATUS,AWARDED_DATE,IMPLEMENTATION_DATE,INFO_ON_CO_LOCATORS,ADDRESS_MYENV,EST_ORIGINAL_COMPLETION_DATE,HUP_COMPLETION_DATE,NUMBER_OF_COOKED_FOOD_STALLS,INC_CRC,FMEL_UPD_D
"{""type"":""Point"",""coordinates"":[103.81831119566189,1.2873075147506794]}",1.2873075147506794,103.81831119566189,119104,26329.80446052,29969.44892915,REDHILL FOOD CENTRE,150085,Redhill Lane,HUP Reconfiguration,Redhill Lane Blk 85 (Redhill Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg,85,Existing,,,,"Blk 85, Redhill Lane, Singapore 150085",4/4/1972,17/06/2005,96,DB85A755C30426D2,20241211100036
"{""type"":""Point"",""coordinates"":[103.81835209769348,1.2878431730128634]}",1.2878431730128634,103.81835209769348,119105,26334.35685607,30028.6791963,REDHILL MARKET,150079,Redhill Lane,HUP Reconfiguration,Redhill Lane Blk 79 (Redhill Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153664347.jpg,79,Existing,,,,"Blk 79, Redhill Lane, Singapore 150079",1/1/1969,28/06/2005,0,279C715AF7D21D96,20241211100036
"{""type"":""Point"",""coordinates"":[103.90516945745766,1.4087476457286714]}",1.4087476457286714,103.90516945745766,119106,35996.00401381,43397.79641023,ONE PUNGGOL,828629,Punggol Drive,New Centre,One Punggol Hawker Centre,,1,Existing (new),08/08/2018,29/08/2018,hawker centre/Regional Library/Senior Care Centre/Branch Office/Child Development Centre/Blood Collection Centre/Kidney Dialysis Centre/Childcare Centre,,29/4/2022,,34,618B2F8F2FDF8376,20241211100036
"{""type"":""Point"",""coordinates"":[103.95547759902762,1.320350159875293]}",1.320350159875293,103.95547759902762,119090,41595.43450447,33623.13262694,BEDOK FOOD CENTRE,469572,Bedok Road,HUP Rebuilding,Bedok Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,1,Existing,,,,"1, Bedok Road, Singapore 469572",1971,06/02/2005,32,C103CAE4E1592F3B,20250807100106
"{""type"":""Point"",""coordinates"":[103.8227636322519,1.4482633636853246]}",1.4482633636853246,103.8227636322519,119107,26825.4015597,47767.12514614,BUKIT CANBERRA,756973,Canberra Link,New Centre,Bukit Canberra Hawker Centre,,21,Existing (new),01/05/2018,17/05/2018,hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre,,27/9/2022,,44,824B5B1579707F78,20241211100036
"{""type"":""Point"",""coordinates"":[103.84582428335005,1.2852950787883]}",1.2852950787883,103.84582428335005,119124,29391.78070667,29746.92264769,HONG LIM COMPLEX,051531,Upper Cross Street,HUP Reconfiguration,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878882405.jpg,531A,Existing,,,,"Blk 531A, Upper Cross Street, Singapore 051531",28/1/1978,09/03/2011,103,31D020670D33DCF0,20241211100036
"{""type"":""Point"",""coordinates"":[103.90634383419179,1.3022965558595991]}",1.3022965558595991,103.90634383419179,119125,36127.05067191,31626.97247923,MARINE PARADE PROMENADE,440084,Marine Parade Central,Opted out of HUP,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg,84,Existing,,,,"Blk 84, Marine Parade Central, Singapore 440084",23/8/1976,,55,CAD9953C3F96445A,20241211100036
"{""type"":""Point"",""coordinates"":[103.7770061037781,1.4434162431254685]}",1.4434162431254685,103.7770061037781,119126,21733.29879772,47231.22967719,MARSILING LANE MARKET & COOKED FOOD CENTRE,730020,Marsiling Lane,HUP Standard Upgrading,Marsiling Lane Blk 20/21,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg,20,Existing,,,,"Blk 20/21, Marsiling Lane, Singapore 730020/730021",15/9/1975,02/03/2009,52,021B75E01E8600C5,20241211100036
"{""type"":""Point"",""coordinates"":[103.85406019787618,1.323428186962711]}",1.323428186962711,103.85406019787618,119127,30308.33469282,33963.49162417,WHAMPOA DRIVE MAKAN PLACE,320091,Whampoa Drive,HUP Standard Upgrading,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154257763.jpg,91,Existing,,,,"Blk 91/92, Whampoa Drive, Singapore 320091/320092",3/1/1973,25/10/2007,52,2F4E1C95D78E0885,20241211100036
"{""type"":""Point"",""coordinates"":[103.94112527731751,1.3242008730218346]}",1.3242008730218346,103.94112527731751,119128,39997.81032558,34049.1824351,MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD),461058,New Upper Changi Road,HUP Standard Upgrading,New Upper Changi Road Blk 58,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153263293.jpg,58,Existing,,,,"Blk 58, New Upper Changi Road, Singapore 461058",27/2/1978,16/09/2008,48,2814DABD52507565,20241211100036
"{""type"":""Point"",""coordinates"":[103.84474752510276,1.4249878627577708]}",1.4249878627577708,103.84474752510276,119129,29271.87369569,45193.43761289,YISHUN PARK HAWKER CENTRE,768867,Yishun Avenue 11,New Centre,Yishun Park Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/yishun-hawker-centre.jpg,51,Existing (new),23/10/2015,25/11/2015,,"Blk 51, Yishun Avenue 11, Singapore 768867",3/7/2017,,45,BDA5598A8F865DCE,20241211100036
"{""type"":""Point"",""coordinates"":[103.8311890232012,1.2923422109888436]}",1.2923422109888436,103.8311890232012,119130,27762.99884696,30526.15484762,ZION RIVERSIDE FOOD CENTRE,247792,Zion Road,HUP Standard Upgrading,Zion Riverside Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267879560483.jpg,70,Existing,,,,"70, Zion Road, Singapore 247792",1976,05/03/2003,32,83E8F60A7EF7A206,20241211100036
"{""type"":""Point"",""coordinates"":[103.88710266901265,1.3278341461996204]}",1.3278341461996204,103.88710266901265,119131,33985.62142484,34450.73539548,CIRCUIT ROAD MARKET AND FOOD CENTRE,370080,Circuit Road,HUP Reconfiguration,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,80,Existing,,,,"Blk 80, Circuit Road, Singapore 370080",1/9/1967,22/02/2003,16,AB5C1E1A448F2835,20241211100036
