,school_name,postal_code,mainlevel_code,latitude,longitude
131,HUAMIN PRIMARY SCHOOL,768857,PRIMARY,1.42697284512936,103.844240226564
133,INNOVA PRIMARY SCHOOL,737888,PRIMARY,1.42896700684852,103.790607539185
134,JIEMIN PRIMARY SCHOOL,768515,PRIMARY,1.42768847665227,103.830425490093
135,JING SHAN PRIMARY SCHOOL,569228,PRIMARY,1.37196445720109,103.851763531681
136,JUNYUAN PRIMARY SCHOOL,528906,PRIMARY,1.34787074766746,103.939221709073
139,JURONG PRIMARY SCHOOL,609476,PRIMARY,1.34843859698946,103.733156566858
141,JURONG WEST PRIMARY SCHOOL,648368,PRIMARY,1.33917519796104,103.698803732244
145,MEE TOH SCHOOL,828867,PRIMARY,1.39485356081865,103.90857257736
146,KEMING PRIMARY SCHOOL,659762,PRIMARY,1.34552849960874,103.756449399351
148,KHENG CHENG SCHOOL,319580,PRIMARY,1.33728818369962,103.847141122849
149,KONG HWA SCHOOL,399772,PRIMARY,1.31099674009193,103.888352029067
150,KRANJI PRIMARY SCHOOL,689189,PRIMARY,1.39356050497104,103.747362720939
152,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,579793,PRIMARY,1.34939813669536,103.855018233311
154,LAKESIDE PRIMARY SCHOOL,618310,PRIMARY,1.33820397704287,103.718089546664
155,LIANHUA PRIMARY SCHOOL,659243,PRIMARY,1.35424191127295,103.754165828711
157,MAHA BODHI SCHOOL,408931,PRIMARY,1.32858023873554,103.901306904157
160,MARSILING PRIMARY SCHOOL,738927,PRIMARY,1.43383904037059,103.773643013846
162,MARYMOUNT CONVENT SCHOOL,297754,PRIMARY,1.34043840661368,103.839811736775
163,MAYFLOWER PRIMARY SCHOOL,569878,PRIMARY,1.37639873282244,103.843165756947
165,MERIDIAN PRIMARY SCHOOL,518798,PRIMARY,1.37550677054835,103.934953276155
167,METHODIST GIRLS' SCHOOL (PRIMARY),599986,PRIMARY,1.33266213599636,103.783382114018
170,MONTFORT JUNIOR SCHOOL,538786,PRIMARY,1.37362445234082,103.889741457901
173,NAN CHIAU PRIMARY SCHOOL,545080,PRIMARY,1.39221149906592,103.891180928186
175,NAN HUA PRIMARY SCHOOL,128806,PRIMARY,1.31920159956387,103.761095065761
178,NANYANG PRIMARY SCHOOL,268097,PRIMARY,1.32107094241153,103.807681852799
180,NAVAL BASE PRIMARY SCHOOL,769028,PRIMARY,1.41590195697649,103.839100590207
182,NEW TOWN PRIMARY SCHOOL,148812,PRIMARY,1.29964188181021,103.80010216304
184,NGEE ANN PRIMARY SCHOOL,449149,PRIMARY,1.30553224180437,103.917570005713
186,NORTH SPRING PRIMARY SCHOOL,545088,PRIMARY,1.38707582424175,103.903088569789
187,NORTH VIEW PRIMARY SCHOOL,768960,PRIMARY,1.42745159462566,103.848378442893
188,NORTH VISTA PRIMARY SCHOOL,544974,PRIMARY,1.38255066171151,103.89626457548
191,NORTHLAND PRIMARY SCHOOL,769026,PRIMARY,1.42130404159807,103.840792923345
194,NORTHOAKS PRIMARY SCHOOL,757622,PRIMARY,1.45732867302094,103.814075611175
195,NORTHSHORE PRIMARY SCHOOL,828671,PRIMARY,1.41842322079348,103.905147201163
197,OASIS PRIMARY SCHOOL,828716,PRIMARY,1.40507184758584,103.911200193835
198,OPERA ESTATE PRIMARY SCHOOL,458436,PRIMARY,1.31996876377748,103.923752668632
201,PALM VIEW PRIMARY SCHOOL,544822,PRIMARY,1.38376923022123,103.891354675017
202,PARK VIEW PRIMARY SCHOOL,519524,PRIMARY,1.37801687647812,103.9392021807
204,PASIR RIS PRIMARY SCHOOL,518968,PRIMARY,1.37245132722087,103.962922699031
206,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),536741,PRIMARY,1.3502545600894,103.884846876112
208,PEI CHUN PUBLIC SCHOOL,319320,PRIMARY,1.33677864390672,103.855341310212
209,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,597610,PRIMARY,1.33807302121151,103.776250903095
211,PEI TONG PRIMARY SCHOOL,129857,PRIMARY,1.31666529308968,103.767438999533
214,PEIYING PRIMARY SCHOOL,768687,PRIMARY,1.41723339695904,103.830417090698
215,PIONEER PRIMARY SCHOOL,699915,PRIMARY,1.35442592930738,103.732790920197
216,POI CHING SCHOOL,529067,PRIMARY,1.35765121877679,103.935246486174
218,PRINCESS ELIZABETH PRIMARY SCHOOL,659163,PRIMARY,1.34919098857585,103.740719208011
219,PUNGGOL COVE PRIMARY SCHOOL,828674,PRIMARY,1.41158455562454,103.89890448429
220,PUNGGOL GREEN PRIMARY SCHOOL,828772,PRIMARY,1.40172590450528,103.898794262307
221,PUNGGOL PRIMARY SCHOOL,538787,PRIMARY,1.37820062547641,103.894667159512
223,PUNGGOL VIEW PRIMARY SCHOOL,828845,PRIMARY,1.40505250226058,103.905299026568
224,QIFA PRIMARY SCHOOL,128104,PRIMARY,1.3132658326807,103.756629101811
225,QIHUA PRIMARY SCHOOL,738525,PRIMARY,1.44203596557592,103.788339762066
226,QUEENSTOWN PRIMARY SCHOOL,149303,PRIMARY,1.29552905587752,103.807648475656
229,RADIN MAS PRIMARY SCHOOL,99840,PRIMARY,,
230,RAFFLES GIRLS' PRIMARY SCHOOL,289072,PRIMARY,1.33004178068277,103.806397828938
233,RED SWASTIKA SCHOOL,469719,PRIMARY,1.33405659580859,103.934317528484
236,RIVER VALLEY PRIMARY SCHOOL,237993,PRIMARY,1.29418347842837,103.836018941571
237,RIVERSIDE PRIMARY SCHOOL,737803,PRIMARY,1.44700426493785,103.801889031334
239,UNITY PRIMARY SCHOOL,688268,PRIMARY,1.40278303219036,103.746801233973
240,RIVERVALE PRIMARY SCHOOL,545092,PRIMARY,1.39333506298213,103.904545253288
241,ROSYTH SCHOOL,555855,PRIMARY,1.3728583654058,103.87477170399
242,RULANG PRIMARY SCHOOL,649295,PRIMARY,1.34673868889096,103.718457955487
245,SEMBAWANG PRIMARY SCHOOL,757715,PRIMARY,1.4457453096024,103.821152676215
247,SENG KANG PRIMARY SCHOOL,545166,PRIMARY,1.38925044778224,103.899527879229
249,SENGKANG GREEN PRIMARY SCHOOL,797636,PRIMARY,1.39283924999573,103.875158826938
252,SHUQUN PRIMARY SCHOOL,649332,PRIMARY,1.34686967259067,103.721559387203
253,SI LING PRIMARY SCHOOL,739067,PRIMARY,1.43240935732525,103.786035065192
254,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,309437,PRIMARY,1.32080725235992,103.827744749548
257,SOUTH VIEW PRIMARY SCHOOL,689762,PRIMARY,1.38143123987698,103.747153671
259,SPRINGDALE PRIMARY SCHOOL,544799,PRIMARY,1.39495818021916,103.889896508672
261,ST ANDREW'S SCHOOL (JUNIOR),359337,PRIMARY,1.33140255308868,103.865117134385
264,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,469701,PRIMARY,1.3351714044028,103.940544723873
266,ST. ANTHONY'S PRIMARY SCHOOL,659401,PRIMARY,1.36411948475833,103.749251919049
267,ST. GABRIEL'S PRIMARY SCHOOL,556742,PRIMARY,1.34930766795555,103.862309899986
269,ST. HILDA'S PRIMARY SCHOOL,529706,PRIMARY,1.34967978969837,103.937016363397
272,ST. JOSEPH'S INSTITUTION JUNIOR,309331,PRIMARY,1.31781476118551,103.845633334522
273,ST. MARGARET'S SCHOOL (PRIMARY),228197,PRIMARY,1.30390355715254,103.845955315605
277,ST. STEPHEN'S SCHOOL,455789,PRIMARY,1.31878997295135,103.917258129598
280,TAMPINES NORTH PRIMARY SCHOOL,529565,PRIMARY,1.36048786025607,103.948768900518
281,TAMPINES PRIMARY SCHOOL,529426,PRIMARY,1.3504863946694,103.943573098509
284,TANJONG KATONG PRIMARY SCHOOL,437259,PRIMARY,1.30498489044822,103.899999965407
286,TAO NAN SCHOOL,449761,PRIMARY,1.30528528687321,103.911553152326
287,TECK GHEE PRIMARY SCHOOL,569299,PRIMARY,1.36565018546903,103.851009800453
288,TECK WHYE PRIMARY SCHOOL,688261,PRIMARY,1.38388660469396,103.753924558586
289,TELOK KURAU PRIMARY SCHOOL,479239,PRIMARY,1.33109611001931,103.911005345855
291,TEMASEK PRIMARY SCHOOL,469300,PRIMARY,1.31770677551333,103.945590669163
293,TOWNSVILLE PRIMARY SCHOOL,569730,PRIMARY,1.35994649477568,103.853768994775
296,WATERWAY PRIMARY SCHOOL,828802,PRIMARY,1.39889261226315,103.918585924582
297,WELLINGTON PRIMARY SCHOOL,757702,PRIMARY,1.45168517614776,103.822516208087
298,WEST GROVE PRIMARY SCHOOL,649223,PRIMARY,1.34471211768915,103.698964212988
299,WEST SPRING PRIMARY SCHOOL,679946,PRIMARY,1.38917971808454,103.76639772288
301,WEST VIEW PRIMARY SCHOOL,677742,PRIMARY,1.38378546546228,103.760273432258
302,WESTWOOD PRIMARY SCHOOL,649188,PRIMARY,1.3477109654722,103.700467520791
304,WHITE SANDS PRIMARY SCHOOL,519075,PRIMARY,1.36563610941695,103.960861814678
306,WOODGROVE PRIMARY SCHOOL,738079,PRIMARY,1.43273620725049,103.79023031392
308,WOODLANDS PRIMARY SCHOOL,738853,PRIMARY,1.43658270720199,103.791791282236
309,WOODLANDS RING PRIMARY SCHOOL,738240,PRIMARY,1.43485179380236,103.79741434351
312,XINGHUA PRIMARY SCHOOL,538882,PRIMARY,1.35799653782463,103.890216355459
313,XINGNAN PRIMARY SCHOOL,649036,PRIMARY,1.34270639669225,103.687588478681
314,XINMIN PRIMARY SCHOOL,538784,PRIMARY,1.37176798317468,103.88280991785
316,XISHAN PRIMARY SCHOOL,768611,PRIMARY,1.43347186925064,103.837755319448
317,YANGZHENG PRIMARY SCHOOL,556108,PRIMARY,1.3489768083841,103.868467129954
318,YEW TEE PRIMARY SCHOOL,689100,PRIMARY,1.39672603497195,103.751817992962
319,YIO CHU KANG PRIMARY SCHOOL,538720,PRIMARY,1.37793264345276,103.885643682171
322,YISHUN PRIMARY SCHOOL,768679,PRIMARY,1.43397617334964,103.834050796658
325,YU NENG PRIMARY SCHOOL,469623,PRIMARY,1.33398037894072,103.932015036296
327,YUHUA PRIMARY SCHOOL,609558,PRIMARY,1.34291981622016,103.740861148879
329,YUMIN PRIMARY SCHOOL,529393,PRIMARY,1.35131569890862,103.950551091373
332,ZHANGDE PRIMARY SCHOOL,169485,PRIMARY,1.28421153855474,103.825951884637
333,ZHENGHUA PRIMARY SCHOOL,679002,PRIMARY,1.37942873617052,103.76970317201
335,ZHONGHUA PRIMARY SCHOOL,556095,PRIMARY,1.36026072476019,103.869712517383
