latitude,longitude,NAME,STATUS
1.2792312094873002,103.8466192738316,Amoy Street Food Centre (Telok Ayer Food Centre),Existing
1.2974865589089906,103.80469379769634,Margaret Drive Hawker Centre,Existing (replacement)
1.4145180096913892,103.9085426013232,Punggol Coast Hawker Centre,Existing (new)
1.2732499271477489,103.8084289682175,Telok Blangah Hawker Centre & Market,Under Construction
1.33923656638092,103.77633041443976,Bukit Timah Market,Under Construction
1.3407879159379656,103.77521471399332,Bukit Timah Interim Hawker Centre and Market,Interim Centre
1.3668484230579017,103.9377763570609,Tampines North Hawker Centre,Under Construction
1.299651001320326,103.79803174152435,Tanglin Halt Hawker Centre & Market,Under Construction
1.323064938171913,103.85499618356134,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),Existing
1.2759179745717486,103.79141090894716,Pasir Panjang Food Centre,Existing
1.276613670144106,103.8431616772891,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),Existing
1.3412641038830853,103.69724185257508,Jurong West Hawker Centre,Existing (new)
1.3082518466799975,103.88580870625424,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),Existing
1.2873075147506794,103.81831119566188,Redhill Lane Blk 85 (Redhill Food Centre),Existing
1.2878431730128634,103.81835209769348,Redhill Lane Blk 79 (Redhill Market),Existing
1.4087476457286714,103.90516945745766,One Punggol Hawker Centre,Existing (new)
1.320350159875293,103.95547759902762,Bedok Food Centre,Existing
1.4482633636853246,103.8227636322519,Bukit Canberra Hawker Centre,Existing (new)
1.2852950787883,103.84582428335004,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),Existing
1.3022965558595991,103.9063438341918,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Existing
1.4434162431254685,103.7770061037781,Marsiling Lane Blk 20/21,Existing
1.323428186962711,103.85406019787618,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),Existing
1.3242008730218346,103.94112527731752,New Upper Changi Road Blk 58,Existing
1.4249878627577708,103.84474752510276,Yishun Park Hawker Centre,Existing (new)
1.2923422109888436,103.8311890232012,Zion Riverside Food Centre,Existing
1.3278341461996204,103.88710266901263,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),Existing
1.3235797144355712,103.8854388424852,Circuit Road Blk 89,Existing
1.2773681323059345,103.81865152419589,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),Existing
1.2803314273259558,103.844747227493,Maxwell Food Centre (Kim Hua Market),Existing
1.2882310148481062,103.83993416821488,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),Existing
1.3023603479067136,103.88390947410478,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),Existing
1.3360207676183895,103.85295698796516,Toa Payoh Lorong 5 Blk 75,Existing
1.3554458319148786,103.74207854445496,Bukit Batok West Hawker Centre,Existing (new)
1.3917019249885314,103.87698146168532,Fernvale Hawker Centre & Market,Existing (new)
1.2855044556549065,103.82182325630666,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),Existing
1.36410720947631,103.84824216615792,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),Existing
1.334550748692379,103.85200350902804,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),Existing
1.3203312605225548,103.90425647876752,Eunos Crescent Blk 4A,Existing
1.3397910139953648,103.8720137732096,Woodleigh Village Hawker Centre,Existing (new)
1.387194004486905,103.76108397650307,Senja Hawker Centre,Existing (new)
1.3072610657579828,103.93479973740148,East Coast Lagoon Food Village,Existing
1.2836613955382454,103.81707271810345,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),Existing
1.3452240653958958,103.71280068056076,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),Existing
1.3011020159948925,103.8541157787254,Queen Street Blk 270 (Albert Centre),Existing
1.2839000647082708,103.85000596089957,Market Street Hawker Centre,Existing (replacement)
1.3206463677515854,103.88702413972791,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),Existing
1.3590838409319477,103.88605536814948,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),Existing
1.3630850108080914,103.86672494953132,Serangoon Garden Market,Existing
1.354082739269573,103.89013040811672,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),Existing
1.303810731977092,103.76425074802,Clementi West Street 2 Blk 726,Existing
1.3151075206359577,103.89558794497684,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),Existing
1.3682477885076516,103.85636164972811,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),Existing
1.3143732849239704,103.77080549454163,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),Existing
1.3723194930318616,103.82901814509523,Sembawang Hills Food Centre (Jalan Leban Food Centre),Existing
1.332772792382345,103.91419083989796,Bedok Reservoir Road Blk 630,Existing
1.3520255700711772,103.8369645086122,Shunfu Road Blk 320 (Shunfu Mart),Existing
1.3208310935185843,103.74274811937116,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),Existing
1.324782370224249,103.93057030470072,New Upper Changi Road Blk 208B,Existing
1.3454169827607771,103.73170383842115,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),Existing
1.3967931535173357,103.88843734465244,Anchorvale Village Hawker Centre,Existing (new)
1.3753225375634035,103.88293193010286,Ci Yuan Hawker Centre,Existing (new)
1.2727612859808173,103.82236354225992,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),Existing
1.353133597947212,103.94040813551574,Hawker Centre @ Our Tampines Hub,Existing (new)
1.3347210666007077,103.72158379761716,Taman Jurong Market and Food Centre,Existing
1.3161312806032646,103.85023293507,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),Existing
1.3205008376701182,103.93547363751794,Bedok South Road Blk 16,Existing
1.4308539599603998,103.82901736490588,Chong Pang Hawker Centre & Market,Under Construction
1.31921667863285,103.86302092286022,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),Existing
1.3727720934379934,103.85445795532792,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),Existing
1.3005440753273745,103.79773798037208,Tanglin Halt Market,Existing
1.307344109232522,103.8568887836074,Berseh Food Centre,Existing
1.3320048242420148,103.93876843904202,Bedok North Street 4 Blk 85 (85 Fengshan Centre),Existing
1.4397495181298368,103.80072071145584,Kampung Admiralty Hawker Centre,Existing (new)
